04202305000120ACORD PER GUANYAR                                 COMPROMIS PER BANYERES:ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000121ACORD PER GUANYAR                                 COMPROMIS PER BENASAU:ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000122ACORD PER GUANYAR                                 JUNTS PER BENEIXAMA - COMPROMÍS : ACORD PER GUANYAR                                                                                                   006063006063006063
04202305000123ACORD PER GUANYAR                                 COMPROMÍS PER BENIARDÀ: ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000124ACORD PER GUANYAR                                 COMPROMIS PER BENIARRES:ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000125FEPAL                                             JUNTES PER BENIDOLEIG                                                                                                                                 005765005765005765
04202305000126ACORD PER GUANYAR                                 COMPROMÍS PER BENIDORM: ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000127PODEM - EUPV: UNIDAS                              UNIDES PODEM - ESQUERRA UNIDA BENIDORM                                                                                                                000369000369000369
04202305000128ACORD PER GUANYAR                                 COMPROMIS BENIFALLIM:ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000129ACORD PER GUANYAR                                 COMPROMIS PER BENIFATO: ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000130ACORD PER GUANYAR                                 COMPROMIS PER BENILLUP:ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000131PB-FEPAL                                          PER BENIMANTELL/POR BENIMANTELL                                                                                                                       005765005765005765
04202305000132ACORD PER GUANYAR                                 COMPROMIS PER BENIMASSOT:ACORD PER GUANYAR                                                                                                            006063006063006063
04202305000133UPB                                               UNITS PER BENIMELI                                                                                                                                    000133000133000133
04202305000134ACORD PER GUANYAR                                 COMPROMÍS PER BENISSA: ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000135RB                                                REINICIEM BENISSA                                                                                                                                     000135000135000135
04202305000136CIUDADANOS DE BENISSA. GRUP INDEPENDENT           CIUDADANOS DE BENISSA. GRUP INDEPENDENT                                                                                                               000136000136000136
04202305000137REDCV                                             RENOVACIÓ DEMOCRÁTICA CENTRISTA VALENCIANA                                                                                                            000137000137000137
04202305000138MESB                                              MÉS BENITATXELL                                                                                                                                       000138000138000138
04202305000139ACORD PER GUANYAR                                 COMPROMÍS BIAR - ESQUERRA BIAR-ACORD PER GUANYAR                                                                                                      006063006063006063
04202305000140ACORD PER GUANYAR                                 COMPROMÍS PER CALP: ACORD PER GUANYAR                                                                                                                 006063006063006063
04202305000141CADE                                              CALPE DESPIERTA                                                                                                                                       000141000141000141
04202305000142SOM CALP                                          SOMOS CALPE                                                                                                                                           000142000142000142
04202305000143DEFENDAMOS CALPE                                  DEFENDAMOS CALPE                                                                                                                                      000143000143000143
04202305000144ACORD PER GUANYAR                                 COMPROMIS PER CALLOSA D'EN SARRIA: ACORD PER GUANYAR                                                                                                  006063006063006063
04202305000145VLC                                               VALENCIA UNIDA                                                                                                                                        000145000145000145
04202305000146P.D.S.J.E.                                        PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS                                                                                                           000146000146000146
04202305000147EUPV - PODEM: UNIDAS                              IZQUIERDA UNIDA - UNIDAS PODEMOS                                                                                                                      000369000369000369
04202305000148EVFP                                              ESPAÑA VIVA                                                                                                                                           000148000148000148
04202305000149ACUERDO PARA GANAR                                COMPROMÍS POR CALLOSA DE SEGURA: ACUERDO PARA GANAR                                                                                                   006063006063006063
04202305000150ACORD PER GUANYAR                                 COMPROMIS PEL CAMPELLO:ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000151EUPV - PODEM - AV: UNIDAS                         ESQUERRA UNIDA - UNIDES PODEM - ALIANZA VERDE                                                                                                         000369000369000369
04202305000152XEC                                               PER EL CAMPELLO                                                                                                                                       000152000152000152
04202305000153ACORD PER GUANYAR                                 COMPROMÍS PER LA CANYADA: ACORD PER GUANYAR                                                                                                           006063006063006063
04202305000154CONTIGO                                           CONTIGO SOMOS DEMOCRACIA                                                                                                                              000154000154000154
04202305000155ACORD PER GUANYAR                                 COMPROMÍS PER CASTALLA: ACORD PER GUANYAR                                                                                                             006063006063006063
04202305000156FEPAL                                             UNITS PER CASTELLS                                                                                                                                    005765005765005765
04202305000157ACORD PER GUANYAR                                 COMPROMIS PER COCENTAINA:ACORD PER GUANYAR                                                                                                            006063006063006063
04202305000158EUPV: ENDAVANT                                    ESQUERRA UNIDA: ENDAVANT                                                                                                                              000158000158000158
04202305000159ACORD PER GUANYAR                                 COMPROMIS PER CONFRIDES-L'ABDET:ACORD PER GUANYAR                                                                                                     006063006063006063
04202305000160ACORD PER GUANYAR                                 COMPROMÍS PER CREVILLENT-L'ESQUERRA DE CREVILLENT: ACORD PER GUANYAR                                                                                  006063006063006063
04202305000161NDN                                               NUEVA DAYA NUEVA                                                                                                                                      000161000161000161
04202305000162ACUERDO PARA GANAR                                COMPROMÍS POR DAYA VIEJA: ACUERDO PARA GANAR                                                                                                          006063006063006063
04202305000163ACORD PER GUANYAR                                 COMPROMÍS PER DÈNIA: ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000164L'ESQUERRA DE DENIA-AM                            L'ESQUERRA DE DENIA-ACORD MUNICIPAL                                                                                                                   005783005783005783
04202305000165GD                                                GENT DE DENIA, LA XARA I JESUS POBRE                                                                                                                  005765005765005765
04202305000166PODEM                                             PODEM                                                                                                                                                 000193000193000193
04202305000167ACORD PER GUANYAR                                 COMPROMÍS PER ELX. ACORD PER GUANYAR                                                                                                                  006063006063006063
04202305000168PODEM - EUPV - AV: UNIDAS                         UNIDES PODEM - ESQUERRA UNIDA - ALIANÇA VERDA                                                                                                         000369000369000369
04202305000169EAD                                               EL ALTET DECIDE                                                                                                                                       000169000169000169
04202305000170PESC                                              POR TI, POR ELDA CON SENTIDO COMÚN                                                                                                                    000170000170000170
04202305000171ACUERDO PARA GANAR                                ELDA PARA TODAS-UNIDAS POR ELDA:                                                                                                                      006063006063006063
04202305000172ACORD PER GUANYAR                                 COMPROMIS PER FAGECA:ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000173ACORD PER GUANYAR                                 COMPROMIS PER FAMORCA:ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000174ACORD PER GUANYAR                                 COMPROMÍS PER GATA DE GORGOS: ACORD PER GUANYAR                                                                                                       006063006063006063
04202305000175ACORD PER GUANYAR                                 COMPROMIS PER GAIANES:ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000176ACORD PER GUANYAR                                 COMPROMIS PER CASTELL DE GUADALEST: ACORD PER GUANYAR                                                                                                 006063006063006063
04202305000177ACORD PER GUANYAR                                 COMPROMÍS PEL FONDÓ DE LAS NEUSACORD PER GUANYAR                                                                                                      006063006063006063
04202305000178ACORD PER GUANYAR                                 SOM IBI - COMPROMÍS : ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000179PODEM-EUPV:UNIDAS                                 UNIDES PODEM-ESQUERRA UNIDA                                                                                                                           000369000369000369
04202305000180ACORD PER GUANYAR                                 COMPROMÍS PER XALÓ: ACORD PER GUANYAR                                                                                                                 006063006063006063
04202305000181ACORD PER GUANYAR                                 COMPROMÍS PER XÁBIA: ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000182CPJ                                               CIUDADANOS POR JAVEA                                                                                                                                  000182000182000182
04202305000183PODEM                                             PODEM XÁBIA                                                                                                                                           000193000193000193
04202305000184JNU                                               JIJONA NOS UNE                                                                                                                                        000184000184000184
04202305000185ACORD PER GUANYAR                                 COMPROMIS PER XIXONA:ACORD PER GUANYAR                                                                                                                006063006063006063
04202305000186MX-AM                                             MES XIXONA - ACORD MUNICIPAL                                                                                                                          005783005783005783
04202305000187TPL                                               TOTS PER L'ORXA                                                                                                                                       000187000187000187
04202305000188ACORD PER GUANYAR                                 AVANT LLIBER: ACORD PER GUANYAR                                                                                                                       006063006063006063
04202305000189ACORD PER GUANYAR                                 COMPROMIS PER MILLENA:ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000190XMONFORTE                                         POR MONFORTE                                                                                                                                          000190000190000190
04202305000191MG                                                MONFORTE GANA                                                                                                                                         000191000191000191
04202305000192SP-EUPV:ENDAVANT                                  SOM POBLE - ESQUERRA UNIDA: ENDAVANT                                                                                                                  000158000158000158
04202305000193PODEMOS                                           PODEMOS                                                                                                                                               000193000193000193
04202305000194ACORD PER GUANYAR                                 COMPROMIS PER MONÒVER:ACORD PER GUANYAR                                                                                                               006063006063006063
04202305000195ACORD PER GUANYAR                                 COMPROMIS PER MUTXAMEL:ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000196ACORD PER GUANYAR                                 COMPROMIS PER MURO:ACORD PER GUANYAR                                                                                                                  006063006063006063
04202305000197XARXA-FEPAL                                       XARXA MURO                                                                                                                                            005765005765005765
04202305000198ENS UNEIX                                         ENS UNEIX                                                                                                                                             000198000198000198
04202305000199ACORD PER GUANYAR                                 COMPROMÍS PER NOVELDA: ACORD PER GUANYAR                                                                                                              006063006063006063
04202305000200GN-EUPV:ENDAVANT                                  GUANYAR NOVELDA - ESQUERRA UNIDA: ENDAVANT                                                                                                            000158000158000158
